ptax_compra,ptax_venda,dt_brt
5.6028,5.6034,2025-07-30 13:14:11.184
5.6015,5.6021,2025-07-31 13:02:33.384
5.543,5.5436,2025-08-01 13:03:03.851
5.5107,5.5113,2025-08-04 13:08:34.124
5.5113,5.5119,2025-08-05 13:04:58.588
5.4796,5.4802,2025-08-06 13:06:39.08
5.4632,5.4638,2025-08-07 13:10:28.166
5.4248,5.4254,2025-08-08 13:10:46.139
5.4467,5.4473,2025-08-11 13:09:01.083
5.4046,5.4052,2025-08-12 13:10:27.976
5.3922,5.3928,2025-08-13 13:12:29.288
5.4089,5.4095,2025-08-14 13:08:26.774
5.3922,5.3928,2025-08-15 13:02:59.023
5.4149,5.4155,2025-08-18 13:11:11.455
5.471,5.4716,2025-08-19 13:04:41.55
5.472,5.4726,2025-08-20 13:12:26.131
5.4822,5.4828,2025-08-21 13:10:49.662
5.4386,5.4392,2025-08-22 13:06:18.381
5.4168,5.4174,2025-08-25 13:06:50.314
5.4212,5.4218,2025-08-26 13:06:46.354
5.4422,5.4428,2025-08-27 13:13:21.409
5.4109,5.4115,2025-08-28 13:13:18.872
5.4258,5.4264,2025-08-29 13:10:21.165
5.4372,5.4378,2025-09-01 13:06:34.559
5.4674,5.468,2025-09-02 13:07:48.188
5.4479,5.4485,2025-09-03 13:06:03.021
5.4581,5.4587,2025-09-04 13:03:32.119
5.3962,5.3968,2025-09-05 13:04:18.063
5.4272,5.4278,2025-09-08 13:09:40.608
5.4272,5.4278,2025-09-09 13:07:27.786
5.4117,5.4123,2025-09-10 13:06:29.196
5.3852,5.3858,2025-09-11 13:06:26.836
5.3671,5.3677,2025-09-12 13:10:29.351
5.3202,5.3208,2025-09-15 13:07:29.069
5.309,5.3096,2025-09-16 13:08:26.586
5.3005,5.3011,2025-09-17 13:10:27.522
5.3004,5.301,2025-09-18 13:10:31.236
5.327,5.3276,2025-09-19 13:05:27.482
5.3451,5.3457,2025-09-22 13:06:30.051
5.3057,5.3063,2025-09-23 13:06:42.796
5.3106,5.3112,2025-09-24 13:09:26.489
5.3419,5.3425,2025-09-25 13:05:26.646
5.3439,5.3445,2025-09-26 13:02:27.976
5.3223,5.3229,2025-09-29 13:04:26.885
5.318,5.3186,2025-09-30 13:08:29.141
5.3202,5.3208,2025-10-01 13:02:30.159
5.3443,5.3449,2025-10-02 13:09:27.673
5.3492,5.3498,2025-10-03 13:05:27.368
5.322,5.3226,2025-10-06 13:07:31.214
5.3357,5.3363,2025-10-07 13:06:29.792
5.3421,5.3427,2025-10-08 13:09:27.623
5.3532,5.3538,2025-10-09 13:09:28.649
5.444,5.4446,2025-10-10 13:11:25.594
5.4623,5.4629,2025-10-13 13:02:43.752
5.4976,5.4982,2025-10-14 13:11:26.346
5.4458,5.4464,2025-10-15 13:07:27.463
5.4348,5.4354,2025-10-16 13:10:33.41
