parametro,primario,grade,hipotese,placebo,n_meses,sucessos_BPmaiorBA,p_binomial,estatistica_obs,nula_media,p_montecarlo,p_binom_bonferroni
primario_0.01pct_15min,True,1.00,H1a_bounce,False,2,0,1.0,0.44680851063829785,0.5495504996318702,1.0,1.0
primario_0.01pct_15min,True,1.00,H1b_magnitude,False,2,1,0.75,0.003857692307692301,0.004560592512760445,1.0,1.0
primario_0.01pct_15min,True,0.50,H1a_bounce,False,6,3,0.65625,0.5459459459459459,0.5495504996318702,0.8142371525694861,1.0
primario_0.01pct_15min,True,0.50,H1b_magnitude,False,6,4,0.34375,0.004657142857142883,0.004560592512760445,0.05838832233553289,1.0
primario_0.01pct_15min,True,0.10,H1a_bounce,False,12,4,0.927001953125,0.5192307692307693,0.5495504996318702,1.0,1.0
primario_0.01pct_15min,True,0.10,H1b_magnitude,False,12,7,0.38720703125,0.004758000000000026,0.004560592512760445,0.0013997200559888023,1.0
primario_0.01pct_15min,True,0.05,H1a_bounce,False,13,8,0.29052734375,0.551176096630642,0.5495504996318702,0.34693061387722457,1.0
primario_0.01pct_15min,True,0.05,H1b_magnitude,False,13,5,0.8665771484375,0.004733286118980174,0.004560592512760445,0.003999200159968006,1.0
primario_0.01pct_15min,True,0.01_placebo,H1a_bounce,True,13,6,0.70947265625,0.5457777777777778,0.5495504996318702,0.8270345930813837,
primario_0.01pct_15min,True,0.01_placebo,H1b_magnitude,True,13,6,0.70947265625,0.004681548783897122,0.004560592512760445,0.02519496100779844,
robustez_0.00pct_15min,False,1.00,H1a_bounce,False,2,0,1.0,0.3333333333333333,0.5056070633588056,1.0,1.0
robustez_0.00pct_15min,False,1.00,H1b_magnitude,False,2,1,0.75,0.003945833333333315,0.004622908958990113,1.0,1.0
robustez_0.00pct_15min,False,0.50,H1a_bounce,False,6,4,0.34375,0.5202312138728323,0.5056070633588056,0.0001999600079984003,1.0
robustez_0.00pct_15min,False,0.50,H1b_magnitude,False,6,4,0.34375,0.004915662650602425,0.004622908958990113,0.0001999600079984003,1.0
robustez_0.00pct_15min,False,0.10,H1a_bounce,False,12,5,0.80615234375,0.49654218533886585,0.5056070633588056,0.9932013597280543,1.0
robustez_0.00pct_15min,False,0.10,H1b_magnitude,False,12,7,0.38720703125,0.004812637362637385,0.004622908958990113,0.001999600079984003,1.0
