ptax_compra,ptax_venda,ptax_mid,mt5_close,date,diff_bps_venda,diff_bps_mid
5.6028,5.6034,5.6030999999999995,5.6357,2025-07-30,57.64357354463401,58.18207777837342
5.6015,5.6021,5.6018,5.6461,2025-07-31,78.54197533067884,79.08172373165729
5.543,5.5436,5.5433,5.5817,2025-08-01,68.72790244606398,69.27281583172356
5.5107,5.5113,5.511,5.5637,2025-08-04,95.07738646054389,95.62692796225684
5.5113,5.5119,5.5116,5.5617,2025-08-05,90.3499700647695,90.89919442630176
5.4796,5.4802,5.4799,5.5261,2025-08-06,83.75606729681327,84.308107812186
5.4632,5.4638,5.4635,5.5008,2025-08-07,67.71843771733944,68.2712546902171
5.4248,5.4254,5.4251000000000005,5.4704,2025-08-08,82.94319312861712,83.50076496285641
5.4467,5.4473,5.447,5.4924,2025-08-11,82.79331044737704,83.34863227464639
5.4046,5.4052,5.4049,5.4516,2025-08-12,85.84326204395808,86.40307868785807
5.3922,5.3928,5.3925,5.4255,2025-08-13,60.636404094348336,61.19610570236507
5.4089,5.4095,5.4092,5.4545,2025-08-14,83.18698585821225,83.74621016046757
5.3922,5.3928,5.3925,5.431,2025-08-15,70.83518765761717,71.39545665275843
5.4149,5.4155,5.4152000000000005,5.4487,2025-08-18,61.30551195642119,61.86290441719455
5.471,5.4716,5.471299999999999,5.5017,2025-08-19,55.0113312376636,55.56266335240292
5.472,5.4726,5.472300000000001,5.5112,2025-08-20,70.53320176881144,71.08528406702673
5.4822,5.4828,5.4825,5.5262,2025-08-21,79.15663529583443,79.70816233470187
5.4386,5.4392,5.4389,5.5062,2025-08-22,123.17987939402886,123.7382558973312
5.4168,5.4174,5.4171,5.4679,2025-08-25,93.21814892753062,93.7771132155593
5.4212,5.4218,5.4215,5.4435,2025-08-26,40.023608395735835,40.579175504934504
5.4422,5.4428,5.4425,5.4805,2025-08-27,69.26581906371732,69.82085438677126
5.4109,5.4115,5.4112,5.4553,2025-08-28,80.9387415688812,81.49763453577812
5.4258,5.4264,5.4261,5.4711,2025-08-29,82.37505528527151,82.93249295073798
5.4674,5.468,5.4677,5.5302,2025-09-02,113.75274323335738,114.30766135669478
5.4479,5.4485,5.4482,5.4917,2025-09-03,79.28787739744826,79.84288388825644
5.4581,5.4587,5.4584,5.4993,2025-09-04,74.37668309304325,74.9303825296785
